epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,756.226,1.27291,1.04106,1.2507,0.86333,0.87463,0.93219,0.61321,1.16014,0.89767,1.27495,0.0016865,0.0016865,0.0016865
21,791.477,1.29377,1.029,1.23156,0.92511,0.86154,0.95353,0.60665,1.22451,0.82534,1.30136,0.00167,0.00167,0.00167
22,826.759,1.26076,1.02629,1.21902,0.87091,0.88462,0.9297,0.63218,1.04326,0.82432,1.2153,0.0016535,0.0016535,0.0016535
23,862.894,1.20838,0.91436,1.19085,0.80335,0.72308,0.81282,0.47194,1.51037,1.36089,1.43226,0.001637,0.001637,0.001637
24,898.692,1.18308,0.92419,1.20016,0.94204,0.8752,0.95426,0.65054,1.0697,0.79218,1.21674,0.0016205,0.0016205,0.0016205
25,935.666,1.22076,0.97195,1.22242,0.86469,0.87692,0.91654,0.58941,1.14339,0.91197,1.32305,0.001604,0.001604,0.001604
26,971.346,1.20129,0.91874,1.17181,0.87594,0.90769,0.95345,0.65752,1.05023,0.76146,1.22135,0.0015875,0.0015875,0.0015875
27,1006.9,1.17098,0.86673,1.14664,0.9039,0.9,0.94789,0.6677,1.01707,0.70686,1.16865,0.001571,0.001571,0.001571
28,1042.08,1.14954,0.83823,1.12777,0.91967,0.88063,0.93778,0.6437,1.06084,0.75378,1.25293,0.0015545,0.0015545,0.0015545
29,1077.58,1.13604,0.87745,1.18042,0.88353,0.90769,0.96033,0.64202,1.14583,0.71134,1.31543,0.001538,0.001538,0.001538
30,1113.36,1.15251,0.88681,1.21614,0.91246,0.84615,0.9347,0.64951,1.10565,0.74418,1.22465,0.0015215,0.0015215,0.0015215
31,1148.8,1.17318,0.91121,1.212,0.9087,0.91876,0.95718,0.66304,1.10329,0.80807,1.19154,0.001505,0.001505,0.001505
32,1184.7,1.13434,0.92851,1.16095,0.88983,0.93191,0.96005,0.67368,1.00596,0.70253,1.19725,0.0014885,0.0014885,0.0014885
33,1220.52,1.14059,0.8834,1.16173,0.91655,0.9,0.94702,0.63844,1.0912,0.75254,1.23132,0.001472,0.001472,0.001472
34,1255.76,1.08905,0.81874,1.15021,0.91764,0.92308,0.95829,0.65815,1.05968,0.71679,1.21299,0.0014555,0.0014555,0.0014555
35,1291.5,1.13983,0.89554,1.16062,0.9133,0.89136,0.9463,0.66284,1.03533,0.78889,1.21461,0.001439,0.001439,0.001439
36,1324.41,1.10362,0.84268,1.13875,0.92318,0.91538,0.95207,0.68611,1.02188,0.64801,1.16007,0.0014225,0.0014225,0.0014225
37,1352.05,1.13781,0.84826,1.13252,0.93806,0.93198,0.97092,0.69454,1.01911,0.68513,1.15354,0.001406,0.001406,0.001406
38,1380.48,1.0755,0.8078,1.11341,0.90742,0.91538,0.96912,0.69294,0.97456,0.69044,1.14746,0.0013895,0.0013895,0.0013895
39,1408,1.10312,0.84951,1.13304,0.89913,0.88462,0.93533,0.63245,1.15667,0.81794,1.27568,0.001373,0.001373,0.001373
40,1434.82,1.06694,0.8104,1.09702,0.93606,0.93077,0.9665,0.70353,0.9733,0.64999,1.16729,0.0013565,0.0013565,0.0013565
41,1465.59,1.10273,0.81826,1.13462,0.92979,0.93846,0.96746,0.69716,0.96833,0.62883,1.14195,0.00134,0.00134,0.00134
42,1495.41,1.05949,0.75711,1.102,0.87437,0.96923,0.96647,0.68317,0.95624,0.66424,1.12351,0.0013235,0.0013235,0.0013235
43,1522.14,1.08102,0.84994,1.1344,0.91706,0.85057,0.95402,0.70084,0.91994,0.67496,1.12747,0.001307,0.001307,0.001307
44,1548.86,1.10498,0.79125,1.13343,0.94196,0.87384,0.96317,0.72217,0.95904,0.64066,1.1369,0.0012905,0.0012905,0.0012905
45,1576.24,1.05192,0.80548,1.09515,0.87742,0.93609,0.94575,0.71158,0.89123,0.63043,1.11127,0.001274,0.001274,0.001274
46,1603.37,1.02132,0.73627,1.06235,0.92106,0.93077,0.96066,0.69458,0.95887,0.65867,1.14971,0.0012575,0.0012575,0.0012575
47,1631.27,1.04257,0.77634,1.12744,0.96032,0.86154,0.96193,0.70566,1.02827,0.67581,1.19758,0.001241,0.001241,0.001241
48,1658.65,0.98255,0.74009,1.08095,0.89866,0.93077,0.96419,0.71006,0.93907,0.61361,1.11649,0.0012245,0.0012245,0.0012245
49,1685.75,1.00326,0.72911,1.09427,0.91547,0.91639,0.9472,0.68791,1.00331,0.69462,1.18655,0.001208,0.001208,0.001208
50,1713.16,1.04846,0.7562,1.10605,0.93138,0.93077,0.95661,0.69975,0.93661,0.64456,1.11438,0.0011915,0.0011915,0.0011915
51,1739.98,1.04702,0.80868,1.1261,0.93556,0.92308,0.96673,0.70357,0.93368,0.61356,1.13442,0.001175,0.001175,0.001175
52,1766.67,1.04175,0.74789,1.10782,0.89258,0.95385,0.96362,0.72231,0.87073,0.60607,1.07715,0.0011585,0.0011585,0.0011585
53,1793.74,1.01778,0.74456,1.10022,0.8805,0.95385,0.97138,0.70181,0.95597,0.65373,1.12601,0.001142,0.001142,0.001142
54,1821.14,1.02053,0.71678,1.0944,0.92359,0.96154,0.97449,0.69944,0.92385,0.6085,1.1178,0.0011255,0.0011255,0.0011255
55,1848.65,1.00769,0.72493,1.09404,0.91492,0.9,0.97191,0.70941,0.90335,0.64321,1.12805,0.001109,0.001109,0.001109
56,1875.6,1.00274,0.72697,1.09948,0.9179,0.96154,0.95425,0.72806,0.91346,0.57046,1.14648,0.0010925,0.0010925,0.0010925
57,1902.5,1.02771,0.68606,1.11398,0.91888,0.95849,0.96939,0.70241,0.95338,0.60113,1.12437,0.001076,0.001076,0.001076
58,1929.05,0.93757,0.65215,1.05464,0.95668,0.93077,0.97577,0.71488,0.90443,0.59779,1.09021,0.0010595,0.0010595,0.0010595
59,1956.31,0.97386,0.70108,1.06226,0.87974,0.95662,0.95924,0.72159,0.88328,0.59106,1.07048,0.001043,0.001043,0.001043
60,1983.29,0.95871,0.67669,1.06889,0.91929,0.96384,0.9749,0.70885,0.94884,0.57504,1.0972,0.0010265,0.0010265,0.0010265
61,2009.91,1.00763,0.72742,1.08486,0.89636,0.93077,0.95968,0.71443,0.92276,0.60472,1.10193,0.00101,0.00101,0.00101
62,2037.25,0.94871,0.67014,1.0678,0.91965,0.95385,0.96315,0.71903,0.88229,0.56146,1.09247,0.0009935,0.0009935,0.0009935
63,2064.49,0.92741,0.64739,1.04624,0.95776,0.93846,0.96777,0.70744,0.88188,0.5897,1.10182,0.000977,0.000977,0.000977
64,2090.96,0.96804,0.68154,1.05109,0.95858,0.93077,0.97722,0.70907,0.92327,0.55334,1.1115,0.0009605,0.0009605,0.0009605
65,2117.74,0.94188,0.66707,1.05803,0.95145,0.92308,0.96303,0.71562,0.94761,0.55087,1.14648,0.000944,0.000944,0.000944
66,2144.26,0.91928,0.62975,1.03587,0.95256,0.92673,0.9625,0.7223,0.88956,0.53489,1.10214,0.0009275,0.0009275,0.0009275
67,2170.68,0.90451,0.64255,1.04494,0.90117,0.93846,0.96198,0.71638,0.94113,0.57701,1.10502,0.000911,0.000911,0.000911
68,2197.27,0.95964,0.65457,1.07042,0.9322,0.95385,0.97193,0.70444,0.95039,0.54814,1.11799,0.0008945,0.0008945,0.0008945
69,2224.57,0.92668,0.64695,1.04875,0.93063,0.92884,0.96991,0.71322,0.91705,0.56584,1.11779,0.000878,0.000878,0.000878
70,2250.88,0.9022,0.63297,1.03644,0.91547,0.94615,0.95657,0.71724,0.88286,0.56691,1.06587,0.0008615,0.0008615,0.0008615
71,2277.44,0.90104,0.62987,1.04809,0.89394,0.94615,0.96405,0.73383,0.86249,0.56188,1.08441,0.000845,0.000845,0.000845
72,2304.57,0.89051,0.63394,1.03614,0.97573,0.92771,0.96944,0.745,0.86922,0.53792,1.06974,0.0008285,0.0008285,0.0008285
73,2331.15,0.92626,0.61764,1.04752,0.96591,0.96154,0.98036,0.73897,0.88109,0.51022,1.06982,0.000812,0.000812,0.000812
74,2358,0.87426,0.61242,1.01988,0.94965,0.90769,0.97285,0.72626,0.8785,0.55788,1.08628,0.0007955,0.0007955,0.0007955
75,2385.5,0.9215,0.61771,1.03613,0.98389,0.93984,0.97826,0.74612,0.85515,0.52725,1.05596,0.000779,0.000779,0.000779
76,2412.02,0.91836,0.60882,1.02579,0.9629,0.93846,0.97855,0.72376,0.8963,0.53879,1.0792,0.0007625,0.0007625,0.0007625
77,2438.7,0.8646,0.59591,1.01473,0.93027,0.93846,0.96886,0.73878,0.87278,0.53246,1.07888,0.000746,0.000746,0.000746
78,2465.35,0.8966,0.63775,1.02295,0.96063,0.93846,0.96829,0.73303,0.88488,0.50837,1.08351,0.0007295,0.0007295,0.0007295
79,2492.56,0.8833,0.6092,1.02852,0.93168,0.94408,0.97218,0.74454,0.84446,0.49796,1.06355,0.000713,0.000713,0.000713
80,2519.08,0.90828,0.60512,1.04105,0.97568,0.92566,0.97623,0.7626,0.81865,0.49969,1.03507,0.0006965,0.0006965,0.0006965
81,2546.3,0.86516,0.60321,1.0169,0.97035,0.95385,0.98465,0.75189,0.84634,0.48946,1.04843,0.00068,0.00068,0.00068
82,2572.75,0.91254,0.63556,1.04842,0.93005,0.92056,0.96335,0.74599,0.8334,0.53969,1.04226,0.0006635,0.0006635,0.0006635
83,2600.36,0.86652,0.61714,1.02086,0.96119,0.95262,0.97832,0.75632,0.83348,0.50793,1.05694,0.000647,0.000647,0.000647
84,2627.21,0.85786,0.57502,1.00617,0.9602,0.92797,0.9725,0.74881,0.85269,0.52475,1.05293,0.0006305,0.0006305,0.0006305
85,2653.65,0.9156,0.6023,1.04552,0.95363,0.94923,0.97518,0.74152,0.85734,0.52011,1.05916,0.000614,0.000614,0.000614
86,2681.25,0.86173,0.57167,1.00295,0.9596,0.93846,0.97357,0.74742,0.87815,0.51274,1.06859,0.0005975,0.0005975,0.0005975
87,2707.88,0.84492,0.59725,1.00613,0.9465,0.95264,0.97409,0.7568,0.82221,0.49104,1.03742,0.000581,0.000581,0.000581
88,2734.27,0.83275,0.57483,1.01273,0.94315,0.96154,0.98354,0.76118,0.8374,0.48539,1.04902,0.0005645,0.0005645,0.0005645
89,2760.73,0.83777,0.57823,1.01362,0.95129,0.95385,0.97757,0.76205,0.81782,0.48504,1.03751,0.000548,0.000548,0.000548
90,2788.02,0.86108,0.59956,1.02021,0.92508,0.94977,0.9773,0.74739,0.86627,0.51222,1.05247,0.0005315,0.0005315,0.0005315
91,2814.36,0.85775,0.5828,1.0173,0.96034,0.93143,0.97655,0.76254,0.81358,0.50733,1.03953,0.000515,0.000515,0.000515
92,2841.36,0.82027,0.55407,0.98876,0.94427,0.91538,0.97584,0.77065,0.85833,0.49387,1.07225,0.0004985,0.0004985,0.0004985
93,2869.33,0.85295,0.54693,1.0028,0.94679,0.93077,0.98031,0.74668,0.84804,0.51102,1.05559,0.000482,0.000482,0.000482
94,2895.88,0.83091,0.55815,0.98877,0.94218,0.95385,0.98133,0.75402,0.81208,0.48954,1.04382,0.0004655,0.0004655,0.0004655
95,2922.8,0.8463,0.56247,1.01815,0.95771,0.95385,0.97632,0.75379,0.84789,0.48439,1.0465,0.000449,0.000449,0.000449
96,2949.33,0.83345,0.56394,0.9963,0.95486,0.93846,0.96882,0.74587,0.86598,0.52053,1.05453,0.0004325,0.0004325,0.0004325
97,2975.68,0.82089,0.55905,0.9887,0.92776,0.96154,0.97645,0.76371,0.81935,0.49517,1.03614,0.000416,0.000416,0.000416
98,3002.44,0.84471,0.56359,1.00347,0.93628,0.95385,0.97675,0.77761,0.83228,0.50073,1.03684,0.0003995,0.0003995,0.0003995
99,3029.57,0.79402,0.54223,0.98447,0.97375,0.93846,0.97439,0.77673,0.80715,0.47372,1.03223,0.000383,0.000383,0.000383
100,3056.99,0.8304,0.5332,0.99511,0.95406,0.95842,0.97832,0.77806,0.80106,0.47027,1.0198,0.0003665,0.0003665,0.0003665
101,3084.18,0.80163,0.51086,0.98877,0.96839,0.94262,0.98212,0.76386,0.82857,0.48672,1.03432,0.00035,0.00035,0.00035
102,3110.84,0.83273,0.53922,1.0056,0.96588,0.93077,0.97873,0.77495,0.78216,0.4644,1.01257,0.0003335,0.0003335,0.0003335
103,3137.41,0.79391,0.54009,0.98908,0.94488,0.94615,0.98085,0.76801,0.82325,0.47152,1.02643,0.000317,0.000317,0.000317
104,3164.01,0.77972,0.51765,0.98091,0.96056,0.96154,0.98064,0.77366,0.83217,0.47164,1.03387,0.0003005,0.0003005,0.0003005
105,3190.69,0.8184,0.54708,0.99545,0.96635,0.94615,0.97977,0.78083,0.77084,0.46004,1.00474,0.000284,0.000284,0.000284
106,3217.43,0.821,0.57099,1.00068,0.95633,0.94615,0.98111,0.77497,0.78978,0.46284,1.01584,0.0002675,0.0002675,0.0002675
107,3245.13,0.80933,0.55003,0.99308,0.95118,0.94615,0.96522,0.7731,0.81858,0.46049,1.03185,0.000251,0.000251,0.000251
108,3272.01,0.77511,0.51763,0.9815,0.9686,0.93077,0.96662,0.76855,0.81816,0.45587,1.02781,0.0002345,0.0002345,0.0002345
109,3298.58,0.74519,0.48703,0.97114,0.97587,0.93334,0.9755,0.7725,0.78605,0.45352,1.01444,0.000218,0.000218,0.000218
110,3326.71,0.78607,0.51425,1.00374,0.97602,0.93935,0.98476,0.78541,0.76407,0.44746,1.00532,0.0002015,0.0002015,0.0002015
111,3353.35,0.65193,0.41048,0.93974,0.95108,0.92308,0.97314,0.79174,0.76511,0.43627,1.0009,0.000185,0.000185,0.000185
112,3380.17,0.65741,0.40474,0.94566,0.95345,0.94534,0.97665,0.79255,0.76379,0.43389,1.00323,0.0001685,0.0001685,0.0001685
113,3406.92,0.66727,0.4252,0.96175,0.96108,0.95385,0.97587,0.78025,0.78717,0.44242,1.0089,0.000152,0.000152,0.000152
114,3433.59,0.65128,0.40396,0.93734,0.93783,0.95385,0.97287,0.78051,0.76805,0.4541,1.00308,0.0001355,0.0001355,0.0001355
115,3460.89,0.63454,0.39942,0.93576,0.95345,0.94529,0.971,0.78106,0.77221,0.45084,1.00791,0.000119,0.000119,0.000119
116,3487.58,0.6409,0.397,0.94687,0.9527,0.96154,0.97629,0.77387,0.78594,0.45363,1.01988,0.0001025,0.0001025,0.0001025
117,3514.74,0.66267,0.39966,0.95507,0.9545,0.94615,0.97762,0.77561,0.78286,0.4403,1.01721,8.6e-05,8.6e-05,8.6e-05
118,3541.33,0.64478,0.38751,0.92717,0.95364,0.94943,0.97648,0.77709,0.7792,0.43469,1.0133,6.95e-05,6.95e-05,6.95e-05
119,3568.21,0.62955,0.38941,0.93769,0.95367,0.95003,0.97585,0.77624,0.76493,0.43358,1.00908,5.3e-05,5.3e-05,5.3e-05
120,3594.63,0.63371,0.39094,0.93584,0.95371,0.95089,0.97986,0.77966,0.76306,0.43417,1.00749,3.65e-05,3.65e-05,3.65e-05
